category,commonName,latinName,description,nativeIntroduced,habitat,diet,morphologyNotes
fish,"Blackfish, Tautog",Tautoga onitis,"A stout olive-brown fish with protruding teeth and rubbery, slimy skin",Native,Associated with reefs and found close to shore in marine and brackish water,"Feeds on mussels, other mollusks and crustaceans","Average adult body size 18–26 cm, up to 17 dorsal spines present and 3 anal spines"
fish ,Northern sea robin,Prionotus carolinus,A small bottom-dwelling fish with wing-like pectoral fins and a spiny head,Native,Bottom-dwelling species occupying marine and brackish areas of 5-70m depth with sandy bottoms,"Has a varied diet including shrimps, crabs, other crustaceans, squid, bivalves and small fishes","Has a broad, bony and spiny head with blue eyes, a tapering body and distinctive large, wing-like pectoral fins, each with three spines that are used to feel the bottom. Common adult length is ~30cm"
fish,Northern pipefish,Syngnathus fuscus,"A small and slender-bodied relative of the seahorse, with a long snout, prominent eyes and a single flared dorsal fin",Native,Associates with reefs and sandy or seagrass benthic habitats,Feeds on small crustaceans such as copepods and amphipods as well as larvae and fish eggs,"Long, slender body encased in bony rings with a tapered snout rounded at the mouth. The single dorsal fin flares over 4–5 of the bony rings along the body. Typically olive to brown in color and up to 30 cm in length, with an average adult length of 15 cm"
fish,Oyster toadfish,Opsanus tau,"A stout species of fish with a very large mouth and head, slimy skin and olive to brown blotchy coloration",Native,Inhabits coastal and estuarine waters on oyster or rocky reefs and other hard substrata,"Feeds on a variety of crustaceans, mollusks, ascidians, squid and juvenile fish","Has a large head, very large mouth and tapering body with an olive to brown coloration. The skin is covered with a protective thick and slimy mucus. Size up to 35 cm in the adult; juveniles up to ~5 cm long may be found in oyster cages and traps"
crustaceans,Blue crab,Callinectes sapidus,"A large, free-swimming species of crab with long legs, the back pair modified for paddling",Native,"Occupies open water in brackish areas, preferring a mud or sand substrate","Omnivorous, feeding on bivalves, annelid worms, small fish and marine ","Carapace is broader than long with distinctive spiny projections on each side. Claws are of equal size, last pair of legs modified into swimming paddles. Sexually dimorphic, with males having a narrow slender abdomen and females a broad and wide abdomen (in which they carry eggs when gravid). Coloring is typically olive green to bluish. Adult size up to a carapace width of 23 cm"
crustaceans,Green crab,Carcinus maenas,"This species is usually found under rocks in shallow areas, has a wide carapace with five short spines behind each eye and a typically green-brown coloration",Introduced,"Occurs primarily in intertidal and shallow subtidal areas, 0–60 m depth, common under rocks and algae, tide pools, marshes and seagrass beds, found across brackish and marine areas","A generalized carnivore that feeds on a variety of bivalves, worms and other invertebrates","Carapace is up to 6 cm long and 9 cm wide, with five short projections or ‘teeth’ along the rim behind each eye, and three undulations between the eyes. Coloration varies greatly, from a dull olive or brown to red or grey, but is typically green-brown in NY Harbor"
crustaceans,"Japanese shore crab, Asian shore crab",Hemigrapsus sanguineus,"Often found under rocks in the intertidal, has striped walking legs",Introduced,Occupies shallow hard-bottom intertidal habitats and can be found on natural and artificial shorelines as well as on mussel beds and oyster reefs. It can tolerate water at a wide range of salinity values and temperatures. ,An opportunistic omnivore with a very broad diet in its introduced range,"Carapace is quite square in shape and usually patterned and dark in color, ranging from brownish orange to greenish black. Walking legs are banded in color. Each side of the carapace has three distinct spiny teeth. Carapace is up to around 4 cm width in adults."
crustaceans,Black-fingered mud crab,Panopeus herbstii,"A small crab up to 4 cm in width with brown to black claws and hairy, slender walking legs",Native,"Found in brackish waters and predominantly muddy bottom habitats around oyster reefs, but can also occupy shallow rocky bottoms and marsh edges","Carnivorous, feeding on a variety of bivalves, worms, crustaceans and small fishes","The ‘fingers’, or top and bottom portions of the closable claw, are usually black to brown in most species; whereas the interior portion at the base of the claw is usually pale. The claws are distinctly unequal in size, and the body is brownish. The carapace is brownish green and slightly granular in texture, with sharp 2nd, 3rd, and 4th marginal teeth on either side. All walking legs are hairy and slender. Average adult size is up to 4 cm in carapace width."
crustaceans,White-fingered mud crab,Rhithropanopeus harrisii,A small greenish crab up to 2.5cm in width with white tipped claws and slender hairy walking legs,Native,Found in estuarine and brackish areas preferring mud and sandy substrates and associating with sheltering structures such as oyster reefs.,"Carnivorous, feeding on a variety of bivalves, worms, crustaceans and small fishes","Smaller than the black fingered mud crab, it has a carapace up to 2.5 cm in width. It is generally greenish brown in color and has white-tipped claws that are unequal in size and appearance. The front of the carapace is almost straight but slightly grooved in the middle. Four spines line the side of its carapace between the eyestalks and the widest portion of the carapace. Its four pairs of walking legs are long, slender and sparsely hairy."
crustaceans,"Gammarid amphipod, scud",Gammarus spp.,"Small translucent free-living crustaceans flattened laterally with arched backs, paired antennae and up to 15 pairs of legs",Native,"Gammarid amphipods can tolerate a wide range of salinities and are found in brackish, estuarine and marine regions","Their diet is usually omnivorous and they often assume a scavenging role, feeding on detritus on hard and soft substrata","Gammarid amphipods vary in specific morphology but are typified by being laterally flattened with an ‘arched back’ carapace shape. They have long anterior antennae, seven pairs of thoracic legs and six pairs of abdominal legs. They can be distinguished from caprellid and amphipods by their stouter, more compact body form and from corophid amphipods and Jassa marmorata by their free-living (as opposed to tube-dwelling) habit. Typical sizes are from 5 to 30 mm in length"
