name,streetAddress,city,state
371K Lillian Rashkis,335 37th Street,Brooklyn,NY
American Museum of Natural History,,,
Bronx Center for Science and Mathematics,1363 Fulton Ave,Bronx,NY
Brooklyn Bridge Park,,,NY
Brooklyn Friends,375 Pearl St,Brooklyn,NY
"Brooklyn School for Collaborative Studies, 448",610 Henry Street,Brooklyn,NY
Central Park East 2,1615 Madison Avenue,New York,NY
"Columbia University, Lamont Doherty Earth Observatory",61 Route 9w,Palisades,NY
Compass Charter School,,,NY
Crave Fishbar,,,NY
Cultural Research Divers,,,NY
CUNY Queens College,,,NY
Curtis High School,,,NY
DCTV,,,NY
Dr. Susan S. McKinney Secondary School of the Arts (13K265),101 Park Avenue,Brooklyn,NY
Edible Manhattan,,,NY
Elmont Memorial High School,,,NY
Empire Dragon Boat,,,NY
Flushing International High School,,,NY
Fort Hamilton High School,,,NY
Good Shepherd Services,,,NY
Harbor Estuary Program,,,NY
Harborview Elementary,,,NY
Harvest Collegiate High School,,,NY
Hastings High School,,,NY
Home Schoolers of Staten Island,,,NY
Hudson River Park,,,NY
Human Impacts Institute,,,NY
Hunters Point Community Middle School,,,NY
Hunters Point Community Middle School,1-50 51st Ave,Long Island City,NY
IGY Marinas,,,NY
IKEA Brooklyn,,,NY
International School for Liberal Art,2780 Reservoir Avenue,Bronx,NY
International School for Liberal Arts,,,NY
IS 141 The Steinway School,,,NY
IS 141 The Steinway School,37-11 21 AVENUE,Queens,NY
IS 145 Joseph Pulitzer,,,NY
IS 145 Joseph Pulitzer,3334 80th St,Jackson Heights,NY
IS 24 Myra Barnes,,,NY
IS 281 Joseph Cavallaro,,,NY
is 281 joseph cavallaro,8787 24th AVE,Brooklyn,NY
IS 68 Isaac Bildersee,,,NY
John Dewey High School,,,NY
"John Ericsson Middle School 126, Magnet School of environmental engineering",424 Leonard Street,Brooklyn,NY
KAPPA III (12x316),2055 Mapes Ave,New York,NY
Kings Plaza Marina,,,NY
La Marina Restaurant,,,NY
LIC Community Boathouse,,,NY
Little Red School House & Elisabeth Irwin High School,,,NY
Locust Point Yacht Club,,,NY
Lower East Side Ecology Center,,,NY
Manhattan Kayak Company,,,NY
Marina 59 ,,,NY
Marsh Avenue Expeditionary Learning School,,,NY
McKinney Secondary School of the Arts,,,NY
Miller's Launch,,,NY
Monsignor McClancy Memorial High School,,,NY
Mott Hall IV,,,NY
Mott Hall IV,1137 Herkimer St,Brooklyn,NY
MS 126 ,80 CATHERINE STREET,NY,NY
MS 126 Jacob Riis,,,NY
MS 188 The Island School,442 E Houston St,NY,NY
MS 244 New School for Leadership and Journalism,,,NY
MS 266 Park Place Community School,31 New York Av,Brooklyn,NY
MS 324 Patria Mirabal,21 Jumel Places,NY,NY
MS 390,1930 Andrews Avenue,BRONX,NY
MS 51,,,NY
MS 88 The Peter Rouget School,544 7th Avenue,Brooklyn,NY
MS319/FRIENDS OF SHERMAN CREEK/CHILDRENS AID SOCIETY,,,NY
MS8 The Robert Fulton School,,,NY
New Dorp High School,,,NY
New Visions Charter High School For Advanced Math & Science II,,,NY
New York Academy of Sciences,,,NY
New York City Department of Education,,,NY
New York Harbor Foundation,,,NY
New York Restoration Project,,,NY
New York University,,,NY
NY State Dept. of Environmental Conservation,,,NY
NYC I School,,,NY
NYC Lab School for Collaborative Studies,,,NY
NYC Parks Department,,,NY
Pace University,,,NY
Poly Prep Country Day School,,,NY
Princess Bay Marina,,,NY
Protectors of Pine Oak Woods inc.,,,NY
PS/IS 276 Battery Park Community School,,,NY
PS/IS 288 Shirley Tanyhill School,2950 W 25th Street,Brooklyn,NY
Randalls Island Alliance,,,NY
Richard R. Green High School of Teaching,,,NY
Richmond County Yacht Club,,,NY
Riverdale Yacht Club,,,NY
Riverside Park Trust,,,NY
"Rockaway Beach Nonprofits (Arts n Parts, Edgemere)",,,NY
Rockaway Waterfront Alliance,,,NY
Rose E. Scala P.S.071,,,NY
Rose E. Scala P.S.071,3040 Roberts Ave,Bronx,NY
Rye City School District,,,NY
Sebago Canoe Club,,,NY
Sleepy Hollow Middle School,,,NY
Solar One,,,NY
Sound view Academy-08X448,885 Bolton Ave,Bronx,NY
Soundview Academy,,,NY
South Street Seaport Museum,,,NY
Spence School,,,NY
St. Clare's School,,,NY
Staten Island Museum,,,NY
Statue Cruises,,,NY
Stuyvesant High School,,,NY
Summit Academy,,,NY
Sunset Park Prep - MS 821,,,NY
Sunset Park Prep - MS 821,4004 4th Ave,Brooklyn,NY
SUNY Maritime,,,NY
"The Battery Conservancy, Battery Urban Farm",,,NY
The Beacon School,,,NY
The Berkeley Carroll School,,,NY
The International School for Liberal Arts MS/HS 342,2780 Reservoir Ave,Bronx,NY
The River Project,,,NY
The Young Women's Leadership School of Astoria,2315 Newtown Avenue,Astoria,NY
Tottenville Marina,,,NY
"University of Maryland, Center for Environmental Science",,,NY
Urban Assembly New York Harbor School,,,NY
Urban Assembly School for Wildlife Conservation,,,NY
Warby Parker,,,NY
West End Secondary School,,,NY
"Wildlife Conservation Society, New York Aquarium",,,NY
YABC @ Tottenville High School,,,NY
"YMCA Off-Site: Julia Richman Educational Complex Site Director, Teen Program",,,NY
