code,description
LE-1.1a,Living things are composed of cells. Cells provide structure and carry on major functions to sustain life. Cells are usually microscopic in size.
LE-1.1b,"The way in which cells function is similar in all living things. Cells grow and divide, producing more cells. Cells take in nutrients, which they use to provide energy for the work that cells do and to make the materials that a cell or an organism needs."
LE-1.1c,"Most cells have cell membranes, genetic material, and cytoplasm. Some cells have a cell wall and/or chloroplasts. Many cells have a nucleus."
LE-1.1d,"Some organisms are single cells; others, including humans, are multicellular."
LE-1.1e,"Cells are organized for more effective functioning in multicellular organisms. Levels of organization for structure and function of a multicellular organism include cells, tissues, organs, and organ systems."
LE-1.1f,"Many plants have roots, stems, leaves, and reproductive structures. These organized groups of tissues are responsible for a plant’s life activities."
LE-1.1g,Multicellular animals often have similar organs and specialized systems for carrying out major life activities.
LE-1.1h,"Living things are classified by shared characteristics on the cellular and organism level. In classifying organisms, biologists consider details of internal and external structures. Biological classification systems are arranged from general (kingdom) to specific (species)."
LE-1.2a,"Each system is composed of organs and tissues which perform specific functions and interact with each other, e.g., digestion, gas exchange, excretion, circulation, loco- motion, control, coordination, reproduction, and protection from disease."
LE-1.2b,"Tissues, organs, and organ systems help to provide all cells with nutrients, oxygen, and waste removal."
LE-1.2c,The digestive system consists of organs that are responsible for the mechanical and chemical breakdown of food. The breakdown process results in molecules that can be absorbed and transported to cells.
LE-1.2d,"During respiration, cells use oxygen to release the energy stored in food. The respiratory system supplies oxygen and removes carbon dioxide (gas exchange)."
LE-1.2e,"The excretory system functions in the disposal of dissolved waste molecules, the elimination of liquid and gaseous wastes, and the removal of excess heat energy."
LE-1.2f,"The circulatory system moves substances to and from cells, where they are needed or produced, responding to changing demands."
LE-1.2g,"Locomotion, necessary to escape danger, obtain food and shelter, and reproduce, is accomplished by the interaction of the skeletal and muscular systems, and coordinated by the nervous system."
LE-1.2h,"The nervous and endocrine systems interact to control and coordinate the body’s responses to changes in the environment, and to regulate growth, development, and reproduction. Hormones are chemicals produced by the endocrine system; hormones regulate many body functions."
LE-1.2i,The male and female reproductive systems are responsible for producing sex cells necessary for the production of offspring.
LE-1.2j,Disease breaks down the structures or functions of an organism. Some diseases are the result of failures of the system. Other diseases are the result of damage by infection from other organisms (germ theory). Specialized cells protect the body from infectious disease. The chemicals they produce identify and destroy microbes that enter the body.
LE-2.1a,Hereditary information is contained in genes. Genes are composed of DNA that makes up the chromosomes of cells.
LE-2.1b,Each gene carries a single unit of information. A single inherited trait of an individual can be determined by one pair or by many pairs of genes. A human cell contains thousands of different genes.
LE-2.1c,Each human cell contains a copy of all the genes needed to produce a human being.
LE-2.1d,"In asexual reproduction, all the genes come from a single parent. Asexually produced offspring are genetically identical to the parent."
LE-2.1e,In sexual reproduction typically half of the genes come from each parent. Sexually produced offspring are not identical to either parent.
LE-2.2a,"In all organisms, genetic traits are passed on from generation to generation."
LE-2.2b,Some genes are dominant and some are recessive. Some traits are inherited by mechanisms other than dominance and recessiveness.
LE-2.2c,The probability of traits being expressed can be determined using models of genetic inheritance. Some models of prediction are pedigree charts and Punnett squares.
LE-3.1a,The processes of sexual reproduction and mutation have given rise to a variety of traits within a species.
LE-3.1b,Changes in environmental conditions can affect the survival of individual organisms with a particular trait. Small differences between parents and offspring can accumulate in successive generations so that descendants are very different from their ances- tors. Individual organisms with certain traits are more likely to survive and have offspring than individuals without those traits.
LE-3.1c,Human activities such as selective breeding and advances in genetic engineering may affect the variations of species.
LE-3.2a,"In all environments, organisms with similar needs may compete with one another for resources."
LE-3.2b,Extinction of a species occurs when the environment changes and the adaptive characteristics of a species are insufficient to permit its survival. Extinction of species is common. Fossils are evidence that a great variety of species existed in the past.
LE-3.2c,Many thousands of layers of sedimentary rock provide evidence for the long history of Earth and for the long history of changing lifeforms whose remains are found in the rocks. Recently deposited rock layers are more likely to contain fossils resembling existing species.
LE-3.2d,"Although the time needed for change in a species is usually great, some species of insects and bacteria have undergone significant change in just a few years."
LE-4.1a,Some organisms reproduce asexually. Other organisms reproduce sexually. Some organisms can reproduce both sexually and asexually.
LE-4.1b,"There are many methods of asexual reproduction, including division of a cell into two cells, or separation of part of an animal or plant from the parent, resulting in the growth of another individual."
LE-4.1c,"Methods of sexual reproduction depend upon the species. All methods involve the merging of sex cells to begin the development of a new individual. In many species, including plants and humans, eggs and sperm are produced."
LE-4.1d,Fertilization and/or development in organisms may be internal or external.
LE-4.2a,The male sex cell is the sperm. The female sex cell is the egg. The fertilization of an egg by a sperm results in a fertilized egg.
LE-4.2b,"In sexual reproduction, sperm and egg each carry one-half of the genetic information for the new individual. Therefore, the fertilized egg contains genetic information from each parent."
LE-4.3a,"Multi-cellular organisms exhibit complex changes in development, which begin after fertilization. The fertilized egg undergoes numerous cellular divisions that will result in a multicellular organism, with each cell having identical genetic information."
LE-4.3b,"In humans, the fertilized egg grows into tissue which develops into organs and organ systems before birth."
LE-4.3c,Various body structures and functions change as an organism goes through its life cycle.
LE-4.3d,"Patterns of development vary among animals. In some species the young resemble the adult, while in others they do not. Some insects and amphibians undergo metamorphosis as they mature."
LE-4.3e,"Patterns of development vary among plants. In seed-bearing plants, seeds contain stored food for early development. Their later development into adulthood is characterized by varying patterns of growth from species to species."
LE-4.3f,"As an individual organism ages, various body structures and functions change."
LE-4.4a,"In multicellular organisms, cell division is responsible for growth, maintenance, and repair. In some one-celled organisms, cell division is a method of asexual reproduction."
LE-4.4b,"In one type of cell division, chromosomes are duplicated and then separated into two identical and complete sets to be passed to each of the two resulting cells. In this type of cell division, the hereditary information is identical in all the cells that result."
LE-4.4c,Another type of cell division accounts for the production of egg and sperm cells in sexually reproducing organisms. The eggs and sperm resulting from this type of cell division contain one-half of the hereditary information.
LE-4.4d,Cancers are a result of abnormal cell division.
LE-5.1a,Animals and plants have a great variety of body plans and internal structures that contribute to their ability to maintain a balanced condition.
LE-5.1b,An organism’s overall body plan and its environment determine the way that the organism carries out the life processes.
LE-5.1c,All organisms require energy to survive. The amount of energy needed and the method for obtaining this energy vary among cells. Some cells use oxygen to release the energy stored in food.
LE-5.1d,"The methods for obtaining nutrients vary among organisms. Producers, such as green plants, use light energy to make their food. Consumers, such as animals, take in energy-rich foods."
LE-5.1e,"Herbivores obtain energy from plants. Carnivores obtain energy from animals. Omnivores obtain energy from both plants and animals. Decomposers, such as bacteria and fungi, obtain energy by consuming wastes and/or dead organisms.H"
LE-5.1f,Regulation of an organism’s internal environment involves sensing the internal environment and changing physiological activities to keep conditions within the range required for survival. Regulation includes a variety of nervous and hormonal feedback systems.
LE-5.1g,The survival of an organism depends on its ability to sense and respond to its external environment.
LE-5.2a,"Food provides molecules that serve as fuel and building material for all organisms. All living things, including plants, must release energy from their food, using it to carry on their life processes."
LE-5.2b,"Foods contain a variety of substances, which include carbohydrates, fats, vitamins, proteins, minerals, and water. Each substance is vital to the survival of the organism."
LE-5.2c,"Metabolism is the sum of all chemical reactions in an organism. Metabolism can be influenced by hormones, exercise, diet, and aging."
LE-5.2d,Energy in foods is measured in Calories. The total caloric value of each type of food varies. The number of Calories a person requires varies from person to person.
LE-5.2e,"In order to maintain a balanced state, all organisms have a minimum daily intake of each type of nutrient based on species, size, age, sex, activity, etc. An imbalance in any of the nutrients might result in weight gain, weight loss, or a diseased state."
