label,value
CCSS.ELA-LITERACY.CCRA.SL.1,"CCSS.ELA-LITERACY.CCRA.SL.1 - Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively."
CCSS.ELA-LITERACY.CCRA.SL.3,"CCSS.ELA-LITERACY.CCRA.SL.3 - Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric."
CCSS.ELA-LITERACY.RI.6.1,CCSS.ELA-LITERACY.RI.6.1 - Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS.ELA-LITERACY.RI.6.4,"CCSS.ELA-LITERACY.RI.6.4 - Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings."
CCSS.ELA-LITERACY.RI.6.7,"CCSS.ELA-LITERACY.RI.6.7 - Integrate information presented in different media or formats (e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue."
CCSS.ELA-LITERACY.RI.7.1,CCSS.ELA-LITERACY.RI.7.1 - Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS.ELA-LITERACY.RI.7.4,"CCSS.ELA-LITERACY.RI.7.4 - Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of a specific word choice on meaning and tone."
CCSS.ELA-LITERACY.RI.8.1,CCSS.ELA-LITERACY.RI.8.1 - Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS.ELA-LITERACY.RI.8.4,"CCSS.ELA-LITERACY.RI.8.4- Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
CCSS.ELA-LITERACY.RI.8.7,"CCSS.ELA-LITERACY.RI.8.7 - Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
CCSS.ELA-LITERACY.RST.6-8.1,CCSS.ELA-LITERACY.RST.6-8.1 - Cite specific textual evidence to support analysis of science and technical texts.
CCSS.ELA-LITERACY.RST.6-8.2,CCSS.ELA-LITERACY.RST.6-8.2 - Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.
CCSS.ELA-LITERACY.RST.6-8.3 ,"CCSS.ELA-LITERACY.RST.6-8.3  - Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks."
CCSS.ELA-LITERACY.RST.6-8.4,"CCSS.ELA-LITERACY.RST.6-8.4 - Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6-8 texts and topics."
CCSS.ELA-LITERACY.RST.6-8.7 ,"CCSS.ELA-LITERACY.RST.6-8.7 - Integrate quantitative or technical information expressed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table)."
CCSS.ELA-LITERACY.RST.6-8.9,"CCSS.ELA-LITERACY.RST.6-8.9 - Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic."
CCSS.ELA-LITERACY.SL.6-8.1,"CCSS.ELA-LITERACY.SL.6-8.1 - Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6-8 topics, texts, and issues, building on others' ideas and expressing their own clearly."
CCSS.ELA-LITERACY.SL.6-8.1.A,"CCSS.ELA-LITERACY.SL.6-8.1.A - Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
CCSS.ELA-LITERACY.SL.6-8.1.B,"CCSS.ELA-LITERACY.SL.6-8.1.B - Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed."
CCSS.ELA-LITERACY.SL.6.1.C,"CCSS.ELA-LITERACY.SL.6.1.C - Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion."
CCSS.ELA-LITERACY.SL.6.1.D,CCSS.ELA-LITERACY.SL.6.1.D - Review the key ideas expressed and demonstrate understanding of multiple perspectives through reflection and paraphrasing.
CCSS.ELA-LITERACY.SL.6.4,"CCSS.ELA-LITERACY.SL.6.4 - Present claims and findings, sequencing ideas logically and using pertinent descriptions, facts, and details to accentuate main ideas or themes; use appropriate eye contact, adequate volume, and clear pronunciation."
CCSS.ELA-LITERACY.SL.6.5,"CCSS.ELA-LITERACY.SL.6.5 - Include multimedia components (e.g., graphics, images, music, sound) and visual displays in presentations to clarify information."
CCSS.ELA-LITERACY.SL.7.1.C,CCSS.ELA-LITERACY.SL.7.1.C - Pose questions that elicit elaboration and respond to others' questions and comments with relevant observations and ideas that bring the discussion back on topic as needed.
CCSS.ELA-LITERACY.SL.7.1.D,"CCSS.ELA-LITERACY.SL.7.1.D - Acknowledge new information expressed by others and, when warranted, modify their own views."
CCSS.ELA-LITERACY.SL.7.4,"CCSS.ELA-LITERACY.SL.7.4 - Present claims and findings, emphasizing salient points in a focused, coherent manner with pertinent descriptions, facts, details, and examples; use appropriate eye contact, adequate volume, and clear pronunciation."
CCSS.ELA-LITERACY.SL.7.5,CCSS.ELA-LITERACY.SL.7.5 - Include multimedia components and visual displays in presentations to clarify claims and findings and emphasize salient points.
CCSS.ELA-LITERACY.SL.8.1.C,"CCSS.ELA-LITERACY.SL.8.1.C - Pose questions that connect the ideas of several speakers and respond to others' questions and comments with relevant evidence, observations, and ideas."
CCSS.ELA-LITERACY.SL.8.1.D,"CCSS.ELA-LITERACY.SL.8.1.D - Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented."
CCSS.ELA-LITERACY.SL.8.4,"CCSS.ELA-LITERACY.SL.8.4 - Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation."
CCSS.ELA-LITERACY.SL.8.5,"CCSS.ELA-LITERACY.SL.8.5 - Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest."
CCSS.ELA-LITERACY.WHST.6-8.1,CCSS.ELA-LITERACY.WHST.6-8.1 - Write arguments focused on discipline-specific content.
CCSS.ELA-LITERACY.WHST.6-8.1.A,"CCSS.ELA-LITERACY.WHST.6-8.1.A - Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
