code,description
CCSS.MATH.CONTENT.7.RP.A.1,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units."
CCSS.MATH.CONTENT.8.F.B.4,"Construct a function to model a linear relationship between two quantities."
CCSS.MATH.CONTENT.8.SP.A.1,"Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association."
CCSS.MATH.CONTENT.7.RP.A.2.A,"Decide whether two quantities are in a proportional relationship"
CCSS.MATH.CONTENT.8.F.B.5,"Describe qualitatively the functional relationship between two quantities by analyzing a graph (e.g., where the function is increasing or decreasing, linear or nonlinear). Sketch a graph that exhibits the qualitative features of a function that has been described verbally."
CCSS.MATH.CONTENT.6.SP.B.5.B,"Describing the nature of the attribute under investigation, including how it was measured and its units of measurement."
CCSS.MATH.CONTENT.6.SP.B.4,"Display numerical data in plots on a number line, including dot plots, histograms, and box plots."
CCSS.MATH.CONTENT.6.G.A.1,"Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems."
CCSS.MATH.CONTENT.6.G.A.2,"Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l w h and V = b h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems."
CCSS.MATH.CONTENT.6.NS.B.3,"Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation."
CCSS.MATH.CONTENT.6.NS.B.2,"Fluently divide multi-digit numbers using the standard algorithm."
CCSS.MATH.CONTENT.6.SP.B.5,"Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered."
CCSS.MATH.CONTENT.8.EE.B.5,"Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways."
CCSS.MATH.CONTENT.7.RP.A.2.B,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships."
CCSS.MATH.CONTENT.7.SP.B.3,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability."
CCSS.MATH.CONTENT.6.NS.A.1,"Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem."
CCSS.MATH.CONTENT.8.SP.A.2,"Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line."
CCSS.MATH.CONTENT.8.EE.A.4,"Perform operations with numbers expressed in scientific notation, including problems where both decimal and scientific notation are used. Use scientific notation and choose units of appropriate size for measurements of very large or very small quantities"
CCSS.MATH.CONTENT.6.SP.A.1,"Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers."
CCSS.MATH.CONTENT.7.RP.A.2,"Recognize and represent proportional relationships between quantities."
CCSS.MATH.CONTENT.6.SP.A.3,"Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number."
CCSS.MATH.CONTENT.6.SP.B.5.D,"Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered."
CCSS.MATH.CONTENT.6.SP.B.5.A,"Reporting the number of observations."
CCSS.MATH.CONTENT.6.EE.C.9,"Represent and analyze quantitative relationships between dependent and independent variables."
CCSS.MATH.CONTENT.6.G.A.4,"Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems."
CCSS.MATH.CONTENT.7.G.A.1,"Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale."
CCSS.MATH.CONTENT.7.G.B.6,"Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms."
CCSS.MATH.CONTENT.6.SP.A.2,"Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape."
CCSS.MATH.CONTENT.8.SP.A.4,"Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables."
CCSS.MATH.CONTENT.7.SP.A.1,"Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences."
CCSS.MATH.CONTENT.6.RP.A.1,"Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities."
CCSS.MATH.CONTENT.7.SP.A.2,"Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions. Draw informal comparative inferences about two populations."
CCSS.MATH.CONTENT.7.SP.B.4,"Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations."
CCSS.MATH.CONTENT.8.EE.A.3,"Use numbers expressed in the form of a single digit times an integer power of 10 to estimate very large or very small quantities, and to express how many times as much one is than the other."
CCSS.MATH.CONTENT.7.RP.A.3,"Use proportional relationships to solve multistep ratio and percent problems."
